token_count,tree_depth,mean_dependency_distance,pos_diversity,morph_feature_coverage,gender_masc_count,gender_fem_count,gender_neut_count,parse_success,id,core_id,language,script,noise_level,category
5,3,1.75,4,0.8,0,0,0,True,MC03_EN_LAT_NOISY,MC03,English,Latin,SMS/Noisy,Missing Context
8,3,2.0,5,0.875,3,2,0,True,MC03_HI_DEV_FORMAL,MC03,Hindi,Devanagari,Formal,Missing Context
7,3,2.3333333333333335,6,1.0,4,0,0,True,MC03_HI_DEV_NOISY,MC03,Hindi,Devanagari,SMS/Noisy,Missing Context
8,3,3.142857142857143,3,0.625,4,0,0,True,MC03_HI_LAT_FORMAL,MC03,Hindi,Latin,Formal,Missing Context
7,3,2.3333333333333335,5,0.8571428571428571,3,0,0,True,MC03_HI_LAT_NOISY,MC03,Hindi,Latin,SMS/Noisy,Missing Context
6,3,1.8,5,0.6666666666666666,1,3,0,True,MC03_MR_DEV_FORMAL,MC03,Marathi,Devanagari,Formal,Missing Context
8,3,1.5714285714285714,6,0.625,4,0,0,True,MC03_MR_DEV_NOISY,MC03,Marathi,Devanagari,SMS/Noisy,Missing Context
6,3,1.4,3,0.5,2,0,0,True,MC03_MR_LAT_FORMAL,MC03,Marathi,Latin,Formal,Missing Context
8,4,1.7142857142857142,3,0.5,3,0,0,True,MC03_MR_LAT_NOISY,MC03,Marathi,Latin,SMS/Noisy,Missing Context
11,3,3.6,7,0.6363636363636364,0,0,2,True,MC04_EN_LAT_FORMAL,MC04,English,Latin,Formal,Missing Context
9,3,3.5,7,0.6666666666666666,0,0,2,True,MC04_EN_LAT_NOISY,MC04,English,Latin,SMS/Noisy,Missing Context
13,3,2.9166666666666665,6,0.7692307692307693,2,0,0,True,MC04_HI_DEV_FORMAL,MC04,Hindi,Devanagari,Formal,Missing Context
13,3,2.5,6,0.7692307692307693,1,3,0,True,MC04_HI_DEV_NOISY,MC04,Hindi,Devanagari,SMS/Noisy,Missing Context
13,5,1.9166666666666667,5,0.7692307692307693,9,0,0,True,MC04_HI_LAT_FORMAL,MC04,Hindi,Latin,Formal,Missing Context
13,6,2.0833333333333335,4,0.5384615384615384,2,1,0,True,MC04_HI_LAT_NOISY,MC04,Hindi,Latin,SMS/Noisy,Missing Context
12,3,2.3636363636363638,6,0.5,3,0,1,True,MC04_MR_DEV_FORMAL,MC04,Marathi,Devanagari,Formal,Missing Context
14,2,2.0,9,0.42857142857142855,1,0,3,True,MC04_MR_DEV_NOISY,MC04,Marathi,Devanagari,SMS/Noisy,Missing Context
14,5,1.2727272727272727,6,0.42857142857142855,2,1,0,True,MC04_MR_LAT_FORMAL,MC04,Marathi,Latin,Formal,Missing Context
13,4,1.4545454545454546,4,0.46153846153846156,3,1,0,True,MC04_MR_LAT_NOISY,MC04,Marathi,Latin,SMS/Noisy,Missing Context
6,3,1.8,5,0.5,0,0,1,True,MC05_EN_LAT_FORMAL,MC05,English,Latin,Formal,Missing Context
8,4,1.8571428571428572,6,0.75,0,0,1,True,MC05_EN_LAT_NOISY,MC05,English,Latin,SMS/Noisy,Missing Context
7,3,2.0,6,0.7142857142857143,2,0,0,True,MC05_HI_DEV_FORMAL,MC05,Hindi,Devanagari,Formal,Missing Context
6,3,2.2,6,0.5,1,0,0,True,MC05_HI_DEV_NOISY,MC05,Hindi,Devanagari,SMS/Noisy,Missing Context
6,3,1.8,1,1.0,5,0,0,True,MC05_HI_LAT_FORMAL,MC05,Hindi,Latin,Formal,Missing Context
4,2,2.0,1,1.0,4,0,0,True,MC05_HI_LAT_NOISY,MC05,Hindi,Latin,SMS/Noisy,Missing Context
6,2,2.2,5,0.5,2,0,0,True,MC05_MR_DEV_FORMAL,MC05,Marathi,Devanagari,Formal,Missing Context
5,2,1.75,4,0.4,1,0,1,True,MC05_MR_DEV_NOISY,MC05,Marathi,Devanagari,SMS/Noisy,Missing Context
6,3,1.8,3,0.3333333333333333,1,0,0,True,MC05_MR_LAT_FORMAL,MC05,Marathi,Latin,Formal,Missing Context
6,3,1.8,3,0.3333333333333333,1,0,0,True,MC05_MR_LAT_NOISY,MC05,Marathi,Latin,SMS/Noisy,Missing Context
7,3,2.3333333333333335,6,0.7142857142857143,0,0,1,True,MC06_EN_LAT_FORMAL,MC06,English,Latin,Formal,Missing Context
6,3,2.6,6,0.6666666666666666,0,0,1,True,MC06_EN_LAT_NOISY,MC06,English,Latin,SMS/Noisy,Missing Context
6,3,3.0,4,1.0,3,0,0,True,MC06_HI_DEV_FORMAL,MC06,Hindi,Devanagari,Formal,Missing Context
6,4,2.0,5,0.8333333333333334,4,0,0,True,MC06_HI_DEV_NOISY,MC06,Hindi,Devanagari,SMS/Noisy,Missing Context
7,3,2.1666666666666665,2,0.7142857142857143,4,0,0,True,MC06_HI_LAT_FORMAL,MC06,Hindi,Latin,Formal,Missing Context
6,3,2.2,3,0.5,2,0,0,True,MC06_HI_LAT_NOISY,MC06,Hindi,Latin,SMS/Noisy,Missing Context
6,3,1.8,5,0.8333333333333334,4,0,0,True,MC06_MR_DEV_FORMAL,MC06,Marathi,Devanagari,Formal,Missing Context
4,3,1.6666666666666667,4,1.0,1,1,1,True,MC06_MR_DEV_NOISY,MC06,Marathi,Devanagari,SMS/Noisy,Missing Context
5,3,1.25,3,0.6,1,1,0,True,MC06_MR_LAT_FORMAL,MC06,Marathi,Latin,Formal,Missing Context
5,3,1.5,4,0.6,1,0,0,True,MC06_MR_LAT_NOISY,MC06,Marathi,Latin,SMS/Noisy,Missing Context
8,3,2.7142857142857144,6,0.625,0,0,1,True,MC07_EN_LAT_FORMAL,MC07,English,Latin,Formal,Missing Context
7,3,2.1666666666666665,6,0.7142857142857143,0,0,1,True,MC07_EN_LAT_NOISY,MC07,English,Latin,SMS/Noisy,Missing Context
11,4,2.0,5,0.9090909090909091,4,0,0,True,MC07_HI_DEV_FORMAL,MC07,Hindi,Devanagari,Formal,Missing Context
6,3,1.6,5,0.8333333333333334,2,0,0,True,MC07_HI_DEV_NOISY,MC07,Hindi,Devanagari,SMS/Noisy,Missing Context
11,5,2.3,5,0.2727272727272727,1,0,0,True,MC07_HI_LAT_FORMAL,MC07,Hindi,Latin,Formal,Missing Context
5,2,2.5,2,0.6,3,0,0,True,MC07_HI_LAT_NOISY,MC07,Hindi,Latin,SMS/Noisy,Missing Context
8,3,1.7142857142857142,5,0.5,2,0,0,True,MC07_MR_DEV_FORMAL,MC07,Marathi,Devanagari,Formal,Missing Context
7,3,2.1666666666666665,5,0.8571428571428571,1,0,2,True,MC07_MR_DEV_NOISY,MC07,Marathi,Devanagari,SMS/Noisy,Missing Context
8,4,2.142857142857143,3,0.375,1,0,0,True,MC07_MR_LAT_FORMAL,MC07,Marathi,Latin,Formal,Missing Context
8,3,1.5,4,0.75,4,0,0,True,MC07_MR_LAT_NOISY,MC07,Marathi,Latin,SMS/Noisy,Missing Context
10,3,3.0,6,0.7,0,0,1,True,MC08_EN_LAT_FORMAL,MC08,English,Latin,Formal,Missing Context
7,3,2.3333333333333335,5,0.8571428571428571,0,0,1,True,MC08_EN_LAT_NOISY,MC08,English,Latin,SMS/Noisy,Missing Context
12,3,3.0,8,0.75,5,0,0,True,MC08_HI_DEV_FORMAL,MC08,Hindi,Devanagari,Formal,Missing Context
11,4,2.1,6,1.0,6,0,0,True,MC08_HI_DEV_NOISY,MC08,Hindi,Devanagari,SMS/Noisy,Missing Context
11,3,3.0,3,0.7272727272727273,8,0,0,True,MC08_HI_LAT_FORMAL,MC08,Hindi,Latin,Formal,Missing Context
11,4,2.1,5,0.7272727272727273,6,0,0,True,MC08_HI_LAT_NOISY,MC08,Hindi,Latin,SMS/Noisy,Missing Context
12,4,2.4545454545454546,8,0.5833333333333334,1,0,2,True,MC08_MR_DEV_FORMAL,MC08,Marathi,Devanagari,Formal,Missing Context
6,3,1.6,4,0.6666666666666666,1,0,1,True,MC08_MR_DEV_NOISY,MC08,Marathi,Devanagari,SMS/Noisy,Missing Context
13,3,2.3333333333333335,4,0.15384615384615385,1,0,0,True,MC08_MR_LAT_FORMAL,MC08,Marathi,Latin,Formal,Missing Context
8,4,1.3333333333333333,3,0.625,3,0,0,True,MC08_MR_LAT_NOISY,MC08,Marathi,Latin,SMS/Noisy,Missing Context
12,3,3.0,7,0.75,0,0,2,True,MC09_EN_LAT_FORMAL,MC09,English,Latin,Formal,Missing Context
8,3,2.0,6,0.75,0,0,0,True,MC09_EN_LAT_NOISY,MC09,English,Latin,SMS/Noisy,Missing Context
15,5,3.4285714285714284,9,0.7333333333333333,5,0,0,True,MC09_HI_DEV_FORMAL,MC09,Hindi,Devanagari,Formal,Missing Context
10,4,2.3333333333333335,7,0.7,4,0,0,True,MC09_HI_DEV_NOISY,MC09,Hindi,Devanagari,SMS/Noisy,Missing Context
15,3,3.857142857142857,3,0.8,11,0,0,True,MC09_HI_LAT_FORMAL,MC09,Hindi,Latin,Formal,Missing Context
8,3,1.7142857142857142,3,0.875,7,0,0,True,MC09_HI_LAT_NOISY,MC09,Hindi,Latin,SMS/Noisy,Missing Context
13,4,2.1666666666666665,6,0.5384615384615384,1,0,3,True,MC09_MR_DEV_FORMAL,MC09,Marathi,Devanagari,Formal,Missing Context
10,3,2.0,7,0.6,2,1,1,True,MC09_MR_DEV_NOISY,MC09,Marathi,Devanagari,SMS/Noisy,Missing Context
14,3,2.4615384615384617,3,0.21428571428571427,1,0,0,True,MC09_MR_LAT_FORMAL,MC09,Marathi,Latin,Formal,Missing Context
12,5,1.2222222222222223,4,0.5833333333333334,3,1,0,True,MC09_MR_LAT_NOISY,MC09,Marathi,Latin,SMS/Noisy,Missing Context
8,3,2.5714285714285716,5,0.75,0,0,2,True,MC10_EN_LAT_FORMAL,MC10,English,Latin,Formal,Missing Context
7,3,2.1666666666666665,5,0.7142857142857143,0,0,2,True,MC10_EN_LAT_NOISY,MC10,English,Latin,SMS/Noisy,Missing Context
14,4,2.230769230769231,6,0.7857142857142857,2,3,0,True,MC10_HI_DEV_FORMAL,MC10,Hindi,Devanagari,Formal,Missing Context
7,3,1.6666666666666667,4,0.8571428571428571,2,3,0,True,MC10_HI_DEV_NOISY,MC10,Hindi,Devanagari,SMS/Noisy,Missing Context
13,4,2.5,4,0.6153846153846154,5,0,0,True,MC10_HI_LAT_FORMAL,MC10,Hindi,Latin,Formal,Missing Context
7,3,1.8333333333333333,5,0.7142857142857143,3,0,0,True,MC10_HI_LAT_NOISY,MC10,Hindi,Latin,SMS/Noisy,Missing Context
8,3,2.5714285714285716,6,0.75,2,0,1,True,MC10_MR_DEV_FORMAL,MC10,Marathi,Devanagari,Formal,Missing Context
11,3,2.1,5,0.45454545454545453,0,1,1,True,MC10_MR_DEV_NOISY,MC10,Marathi,Devanagari,SMS/Noisy,Missing Context
9,4,1.875,3,0.4444444444444444,2,0,0,True,MC10_MR_LAT_FORMAL,MC10,Marathi,Latin,Formal,Missing Context
13,4,2.4166666666666665,3,0.38461538461538464,4,0,0,True,MC10_MR_LAT_NOISY,MC10,Marathi,Latin,SMS/Noisy,Missing Context
8,3,1.8571428571428572,8,0.625,0,0,0,True,UE01_EN_LAT_FORMAL,UE01,English,Latin,Formal,Unknown / Pseudo Entity
8,3,2.0,7,0.625,0,0,0,True,UE01_EN_LAT_NOISY,UE01,English,Latin,SMS/Noisy,Unknown / Pseudo Entity
9,3,2.125,7,0.7777777777777778,4,0,0,True,UE01_HI_DEV_FORMAL,UE01,Hindi,Devanagari,Formal,Unknown / Pseudo Entity
8,4,1.8571428571428572,6,0.75,3,0,0,True,UE01_HI_DEV_NOISY,UE01,Hindi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
8,2,3.142857142857143,2,0.875,6,0,0,True,UE01_HI_LAT_FORMAL,UE01,Hindi,Latin,Formal,Unknown / Pseudo Entity
8,3,2.142857142857143,2,0.75,6,0,0,True,UE01_HI_LAT_NOISY,UE01,Hindi,Latin,SMS/Noisy,Unknown / Pseudo Entity
8,4,1.5714285714285714,7,0.75,2,0,0,True,UE01_MR_DEV_FORMAL,UE01,Marathi,Devanagari,Formal,Unknown / Pseudo Entity
5,4,1.25,5,1.0,2,0,0,True,UE01_MR_DEV_NOISY,UE01,Marathi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
7,3,2.0,3,0.2857142857142857,1,0,0,True,UE01_MR_LAT_FORMAL,UE01,Marathi,Latin,Formal,Unknown / Pseudo Entity
4,2,1.3333333333333333,2,1.0,3,0,0,True,UE01_MR_LAT_NOISY,UE01,Marathi,Latin,SMS/Noisy,Unknown / Pseudo Entity
12,5,2.3636363636363638,9,0.8333333333333334,0,0,0,True,UE02_EN_LAT_FORMAL,UE02,English,Latin,Formal,Unknown / Pseudo Entity
10,5,1.6666666666666667,8,0.9,0,0,0,True,UE02_EN_LAT_NOISY,UE02,English,Latin,SMS/Noisy,Unknown / Pseudo Entity
17,3,3.4375,8,0.8235294117647058,6,1,0,True,UE02_HI_DEV_FORMAL,UE02,Hindi,Devanagari,Formal,Unknown / Pseudo Entity
9,5,2.125,6,1.0,5,0,0,True,UE02_HI_DEV_NOISY,UE02,Hindi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
16,3,4.666666666666667,2,0.8125,12,1,0,True,UE02_HI_LAT_FORMAL,UE02,Hindi,Latin,Formal,Unknown / Pseudo Entity
9,3,2.625,1,1.0,7,0,0,True,UE02_HI_LAT_NOISY,UE02,Hindi,Latin,SMS/Noisy,Unknown / Pseudo Entity
15,5,2.5714285714285716,8,0.7333333333333333,5,0,0,True,UE02_MR_DEV_FORMAL,UE02,Marathi,Devanagari,Formal,Unknown / Pseudo Entity
15,4,2.357142857142857,7,0.5333333333333333,3,0,0,True,UE02_MR_DEV_NOISY,UE02,Marathi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
15,6,2.0,4,0.2,1,0,0,True,UE02_MR_LAT_FORMAL,UE02,Marathi,Latin,Formal,Unknown / Pseudo Entity
15,3,2.8461538461538463,3,0.4666666666666667,4,0,0,True,UE02_MR_LAT_NOISY,UE02,Marathi,Latin,SMS/Noisy,Unknown / Pseudo Entity
8,4,2.0,6,0.75,0,0,0,True,UE03_EN_LAT_FORMAL,UE03,English,Latin,Formal,Unknown / Pseudo Entity
5,4,1.25,4,0.8,0,0,0,True,UE03_EN_LAT_NOISY,UE03,English,Latin,SMS/Noisy,Unknown / Pseudo Entity
11,3,2.4,6,0.8181818181818182,4,1,0,True,UE03_HI_DEV_FORMAL,UE03,Hindi,Devanagari,Formal,Unknown / Pseudo Entity
13,3,2.6666666666666665,8,0.7692307692307693,6,0,0,True,UE03_HI_DEV_NOISY,UE03,Hindi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
11,3,3.2,2,0.8181818181818182,9,0,0,True,UE03_HI_LAT_FORMAL,UE03,Hindi,Latin,Formal,Unknown / Pseudo Entity
12,5,1.6363636363636365,5,0.6666666666666666,4,0,0,True,UE03_HI_LAT_NOISY,UE03,Hindi,Latin,SMS/Noisy,Unknown / Pseudo Entity
9,3,1.5714285714285714,4,0.5555555555555556,2,0,2,True,UE03_MR_DEV_FORMAL,UE03,Marathi,Devanagari,Formal,Unknown / Pseudo Entity
5,2,1.5,4,0.8,2,0,0,True,UE03_MR_DEV_NOISY,UE03,Marathi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
9,4,1.875,2,0.1111111111111111,1,0,0,True,UE03_MR_LAT_FORMAL,UE03,Marathi,Latin,Formal,Unknown / Pseudo Entity
7,3,1.6666666666666667,4,0.2857142857142857,1,0,0,True,UE03_MR_LAT_NOISY,UE03,Marathi,Latin,SMS/Noisy,Unknown / Pseudo Entity
8,3,2.5714285714285716,7,0.75,0,0,0,True,UE04_EN_LAT_FORMAL,UE04,English,Latin,Formal,Unknown / Pseudo Entity
7,3,2.0,6,0.8571428571428571,0,0,0,True,UE04_EN_LAT_NOISY,UE04,English,Latin,SMS/Noisy,Unknown / Pseudo Entity
9,3,2.0,5,0.8888888888888888,4,0,0,True,UE04_HI_DEV_FORMAL,UE04,Hindi,Devanagari,Formal,Unknown / Pseudo Entity
8,3,2.4285714285714284,5,0.875,2,1,0,True,UE04_HI_DEV_NOISY,UE04,Hindi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
9,2,3.625,3,0.6666666666666666,5,0,0,True,UE04_HI_LAT_FORMAL,UE04,Hindi,Latin,Formal,Unknown / Pseudo Entity
7,3,2.1666666666666665,4,0.8571428571428571,4,0,0,True,UE04_HI_LAT_NOISY,UE04,Hindi,Latin,SMS/Noisy,Unknown / Pseudo Entity
9,4,2.75,6,0.6666666666666666,1,2,0,True,UE04_MR_DEV_FORMAL,UE04,Marathi,Devanagari,Formal,Unknown / Pseudo Entity
11,4,2.375,7,0.6363636363636364,3,0,0,True,UE04_MR_DEV_NOISY,UE04,Marathi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
6,3,2.2,4,0.3333333333333333,1,0,0,True,UE04_MR_LAT_FORMAL,UE04,Marathi,Latin,Formal,Unknown / Pseudo Entity
11,3,2.7777777777777777,4,0.45454545454545453,3,0,0,True,UE04_MR_LAT_NOISY,UE04,Marathi,Latin,SMS/Noisy,Unknown / Pseudo Entity
8,4,2.0,7,0.875,0,0,0,True,UE05_EN_LAT_FORMAL,UE05,English,Latin,Formal,Unknown / Pseudo Entity
6,4,1.2,5,1.0,0,0,0,True,UE05_EN_LAT_NOISY,UE05,English,Latin,SMS/Noisy,Unknown / Pseudo Entity
9,3,2.0,7,0.7777777777777778,4,1,0,True,UE05_HI_DEV_FORMAL,UE05,Hindi,Devanagari,Formal,Unknown / Pseudo Entity
11,4,2.2,7,0.8181818181818182,4,1,0,True,UE05_HI_DEV_NOISY,UE05,Hindi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
10,4,2.0,2,0.8,8,0,0,True,UE05_HI_LAT_FORMAL,UE05,Hindi,Latin,Formal,Unknown / Pseudo Entity
11,6,1.7,6,0.5454545454545454,3,1,0,True,UE05_HI_LAT_NOISY,UE05,Hindi,Latin,SMS/Noisy,Unknown / Pseudo Entity
10,4,1.8888888888888888,9,0.7,2,2,0,True,UE05_MR_DEV_FORMAL,UE05,Marathi,Devanagari,Formal,Unknown / Pseudo Entity
13,5,2.0,9,0.5384615384615384,6,0,0,True,UE05_MR_DEV_NOISY,UE05,Marathi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
8,3,2.2857142857142856,3,0.25,1,0,0,True,UE05_MR_LAT_FORMAL,UE05,Marathi,Latin,Formal,Unknown / Pseudo Entity
12,4,2.6363636363636362,2,0.3333333333333333,4,0,0,True,UE05_MR_LAT_NOISY,UE05,Marathi,Latin,SMS/Noisy,Unknown / Pseudo Entity
7,3,2.6666666666666665,7,0.7142857142857143,0,0,0,True,UE06_EN_LAT_FORMAL,UE06,English,Latin,Formal,Unknown / Pseudo Entity
5,3,2.5,5,1.0,0,0,0,True,UE06_EN_LAT_NOISY,UE06,English,Latin,SMS/Noisy,Unknown / Pseudo Entity
9,3,2.75,6,0.8888888888888888,5,1,0,True,UE06_HI_DEV_FORMAL,UE06,Hindi,Devanagari,Formal,Unknown / Pseudo Entity
7,3,1.6666666666666667,5,1.0,4,0,0,True,UE06_HI_DEV_NOISY,UE06,Hindi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
8,2,3.142857142857143,3,0.75,5,0,0,True,UE06_HI_LAT_FORMAL,UE06,Hindi,Latin,Formal,Unknown / Pseudo Entity
7,2,2.6666666666666665,3,0.7142857142857143,5,0,0,True,UE06_HI_LAT_NOISY,UE06,Hindi,Latin,SMS/Noisy,Unknown / Pseudo Entity
7,3,2.5,6,0.5714285714285714,2,0,0,True,UE06_MR_DEV_FORMAL,UE06,Marathi,Devanagari,Formal,Unknown / Pseudo Entity
5,2,2.5,4,0.8,3,0,0,True,UE06_MR_DEV_NOISY,UE06,Marathi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
9,4,2.125,3,0.2222222222222222,2,0,0,True,UE06_MR_LAT_FORMAL,UE06,Marathi,Latin,Formal,Unknown / Pseudo Entity
6,3,1.8,3,0.6666666666666666,3,0,0,True,UE06_MR_LAT_NOISY,UE06,Marathi,Latin,SMS/Noisy,Unknown / Pseudo Entity
7,3,2.0,6,0.7142857142857143,0,0,0,True,UE07_EN_LAT_FORMAL,UE07,English,Latin,Formal,Unknown / Pseudo Entity
6,3,1.8,6,0.6666666666666666,0,0,0,True,UE07_EN_LAT_NOISY,UE07,English,Latin,SMS/Noisy,Unknown / Pseudo Entity
7,3,2.0,6,0.7142857142857143,2,1,0,True,UE07_HI_DEV_FORMAL,UE07,Hindi,Devanagari,Formal,Unknown / Pseudo Entity
7,3,2.1666666666666665,5,0.7142857142857143,1,1,0,True,UE07_HI_DEV_NOISY,UE07,Hindi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
7,2,2.6666666666666665,2,0.8571428571428571,5,0,0,True,UE07_HI_LAT_FORMAL,UE07,Hindi,Latin,Formal,Unknown / Pseudo Entity
7,5,1.5,5,0.5714285714285714,3,0,0,True,UE07_HI_LAT_NOISY,UE07,Hindi,Latin,SMS/Noisy,Unknown / Pseudo Entity
6,3,2.0,5,0.5,3,0,0,True,UE07_MR_DEV_FORMAL,UE07,Marathi,Devanagari,Formal,Unknown / Pseudo Entity
9,4,2.0,5,0.3333333333333333,3,0,0,True,UE07_MR_DEV_NOISY,UE07,Marathi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
5,3,1.5,3,0.6,1,0,0,True,UE07_MR_LAT_FORMAL,UE07,Marathi,Latin,Formal,Unknown / Pseudo Entity
9,4,1.375,3,0.3333333333333333,3,0,0,True,UE07_MR_LAT_NOISY,UE07,Marathi,Latin,SMS/Noisy,Unknown / Pseudo Entity
9,4,2.625,7,0.6666666666666666,0,0,0,True,UE08_EN_LAT_FORMAL,UE08,English,Latin,Formal,Unknown / Pseudo Entity
7,4,1.8333333333333333,5,0.8571428571428571,0,0,0,True,UE08_EN_LAT_NOISY,UE08,English,Latin,SMS/Noisy,Unknown / Pseudo Entity
10,3,2.5555555555555554,6,0.9,6,0,0,True,UE08_HI_DEV_FORMAL,UE08,Hindi,Devanagari,Formal,Unknown / Pseudo Entity
6,3,2.0,5,0.8333333333333334,3,0,0,True,UE08_HI_DEV_NOISY,UE08,Hindi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
9,3,1.875,3,0.8888888888888888,6,0,0,True,UE08_HI_LAT_FORMAL,UE08,Hindi,Latin,Formal,Unknown / Pseudo Entity
6,3,2.2,1,1.0,6,0,0,True,UE08_HI_LAT_NOISY,UE08,Hindi,Latin,SMS/Noisy,Unknown / Pseudo Entity
11,4,2.7,7,0.7272727272727273,4,0,0,True,UE08_MR_DEV_FORMAL,UE08,Marathi,Devanagari,Formal,Unknown / Pseudo Entity
11,4,1.2222222222222223,6,0.7272727272727273,1,0,3,True,UE08_MR_DEV_NOISY,UE08,Marathi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
8,4,1.7142857142857142,3,0.375,2,0,0,True,UE08_MR_LAT_FORMAL,UE08,Marathi,Latin,Formal,Unknown / Pseudo Entity
10,3,1.875,4,0.6,4,0,0,True,UE08_MR_LAT_NOISY,UE08,Marathi,Latin,SMS/Noisy,Unknown / Pseudo Entity
9,3,2.375,7,0.6666666666666666,0,0,0,True,UE09_EN_LAT_FORMAL,UE09,English,Latin,Formal,Unknown / Pseudo Entity
6,3,1.8,5,0.8333333333333334,0,0,0,True,UE09_EN_LAT_NOISY,UE09,English,Latin,SMS/Noisy,Unknown / Pseudo Entity
12,3,3.090909090909091,7,0.75,5,0,0,True,UE09_HI_DEV_FORMAL,UE09,Hindi,Devanagari,Formal,Unknown / Pseudo Entity
11,3,2.0,8,0.6363636363636364,3,0,0,True,UE09_HI_DEV_NOISY,UE09,Hindi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
11,4,2.7,4,0.8181818181818182,3,0,0,True,UE09_HI_LAT_FORMAL,UE09,Hindi,Latin,Formal,Unknown / Pseudo Entity
11,4,2.4,2,0.8181818181818182,7,2,0,True,UE09_HI_LAT_NOISY,UE09,Hindi,Latin,SMS/Noisy,Unknown / Pseudo Entity
10,4,2.3333333333333335,8,0.5,2,0,0,True,UE09_MR_DEV_FORMAL,UE09,Marathi,Devanagari,Formal,Unknown / Pseudo Entity
12,3,2.3636363636363638,7,0.5,1,0,1,True,UE09_MR_DEV_NOISY,UE09,Marathi,Devanagari,SMS/Noisy,Unknown / Pseudo Entity
9,3,2.125,3,0.2222222222222222,2,0,0,True,UE09_MR_LAT_FORMAL,UE09,Marathi,Latin,Formal,Unknown / Pseudo Entity
